Date,Abs.,V(m3),Conc.,Aveg.,compound,location,year,month
1/8/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,january
1/12/2011 0:00,0.016,228,11.29824561,12.03380848,so2,Kupwad,2011,january
1/12/2011 0:00,0.018,240,12.075,,so2,Kupwad,2011,january
1/12/2011 0:00,0.017,228,12.00438596,,so2,Kupwad,2011,january
1/12/2011 0:00,0.023,240,15.42916667,,so2,Kupwad,2011,january
1/12/2011 0:00,0.014,240,9.391666667,,so2,Kupwad,2011,january
1/12/2011 0:00,0.017,228,12.00438596,,so2,Kupwad,2011,january
1/15/2011 0:00,0.009,228,6.355263158,8.520760234,so2,Kupwad,2011,january
1/15/2011 0:00,0.012,240,8.05,,so2,Kupwad,2011,january
1/15/2011 0:00,0.017,228,12.00438596,,so2,Kupwad,2011,january
1/15/2011 0:00,0.015,228,10.59210526,,so2,Kupwad,2011,january
1/15/2011 0:00,0.008,228,5.649122807,,so2,Kupwad,2011,january
1/15/2011 0:00,0.012,228,8.473684211,,so2,Kupwad,2011,january
1/19/2011 0:00,0.013,228,9.179824561,10.40903184,so2,Kupwad,2011,january
1/19/2011 0:00,0.022,228,15.53508772,,so2,Kupwad,2011,january
1/19/2011 0:00,0.019,228,13.41666667,,so2,Kupwad,2011,january
1/19/2011 0:00,0.019,228,13.41666667,,so2,Kupwad,2011,january
1/19/2011 0:00,0.008,216,5.962962963,,so2,Kupwad,2011,january
1/19/2011 0:00,0.007,228,4.942982456,,so2,Kupwad,2011,january
1/22/2011 0:00,0.018,228,12.71052632,8.199074074,so2,Kupwad,2011,january
1/22/2011 0:00,0.012,228,8.473684211,,so2,Kupwad,2011,january
1/22/2011 0:00,0.007,228,4.942982456,,so2,Kupwad,2011,january
1/22/2011 0:00,0.009,228,6.355263158,,so2,Kupwad,2011,january
1/22/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,january
1/22/2011 0:00,0.012,216,8.944444444,,so2,Kupwad,2011,january
1/26/2011 0:00,0.004,228,2.824561404,6.263726446,so2,Kupwad,2011,january
1/26/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,january
1/26/2011 0:00,0.014,228,9.885964912,,so2,Kupwad,2011,january
1/26/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,january
1/26/2011 0:00,0.009,228,6.355263158,,so2,Kupwad,2011,january
1/26/2011 0:00,0.004,216,2.981481481,,so2,Kupwad,2011,january
1/29/2011 0:00,0.011,228,9.179824561,9.650584795,so2,Kupwad,2011,january
1/29/2011 0:00,0.017,228,7.061403509,,so2,Kupwad,2011,january
1/29/2011 0:00,0.017,228,7.76754386,,so2,Kupwad,2011,january
1/29/2011 0:00,0.011,216,9.885964912,,so2,Kupwad,2011,january
1/29/2011 0:00,0.015,228,10.59210526,,so2,Kupwad,2011,january
1/29/2011 0:00,0.015,228,13.41666667,,so2,Kupwad,2011,january
1/2/2011 0:00,0.019,228,13.41666667,13.4755117,so2,Rajawada chowk,2011,january
1/2/2011 0:00,0.013,240,8.720833333,,so2,Rajawada chowk,2011,january
1/2/2011 0:00,0.009,240,6.0375,,so2,Rajawada chowk,2011,january
1/2/2011 0:00,0.024,240,16.1,,so2,Rajawada chowk,2011,january
1/2/2011 0:00,0.024,240,16.1,,so2,Rajawada chowk,2011,january
1/2/2011 0:00,0.029,228,20.47807018,,so2,Rajawada chowk,2011,january
1/6/2011 0:00,0.014,240,9.391666667,10.21615091,so2,Rajawada chowk,2011,january
1/6/2011 0:00,0.011,240,7.379166667,,so2,Rajawada chowk,2011,january
1/6/2011 0:00,0.01,228,7.061403509,,so2,Rajawada chowk,2011,january
1/6/2011 0:00,0.016,228,11.29824561,,so2,Rajawada chowk,2011,january
1/6/2011 0:00,0.017,228,12.00438596,,so2,Rajawada chowk,2011,january
1/6/2011 0:00,0.019,216,14.16203704,,so2,Rajawada chowk,2011,january
1/9/2011 0:00,0.012,240,8.05,11.28647661,so2,Rajawada chowk,2011,january
1/9/2011 0:00,0.018,240,12.075,,so2,Rajawada chowk,2011,january
1/9/2011 0:00,0.015,240,10.0625,,so2,Rajawada chowk,2011,january
1/9/2011 0:00,0.022,240,14.75833333,,so2,Rajawada chowk,2011,january
1/9/2011 0:00,0.015,240,10.0625,,so2,Rajawada chowk,2011,january
1/9/2011 0:00,0.018,228,12.71052632,,so2,Rajawada chowk,2011,january
1/13/2011 0:00,0.009,240,6.0375,10.93340643,so2,Rajawada chowk,2011,january
1/13/2011 0:00,0.013,240,8.720833333,,so2,Rajawada chowk,2011,january
1/13/2011 0:00,0.016,228,11.29824561,,so2,Rajawada chowk,2011,january
1/13/2011 0:00,0.022,228,15.53508772,,so2,Rajawada chowk,2011,january
1/13/2011 0:00,0.016,228,11.29824561,,so2,Rajawada chowk,2011,january
1/13/2011 0:00,0.018,228,12.71052632,,so2,Rajawada chowk,2011,january
1/16/2011 0:00,0.015,240,10.0625,8.450146199,so2,Rajawada chowk,2011,january
1/16/2011 0:00,0.011,240,7.379166667,,so2,Rajawada chowk,2011,january
1/16/2011 0:00,0.011,228,7.76754386,,so2,Rajawada chowk,2011,january
1/16/2011 0:00,0.018,240,12.075,,so2,Rajawada chowk,2011,january
1/16/2011 0:00,0.007,240,4.695833333,,so2,Rajawada chowk,2011,january
1/16/2011 0:00,0.013,240,8.720833333,,so2,Rajawada chowk,2011,january
1/20/2011 0:00,0.018,240,12.075,11.28059211,so2,Rajawada chowk,2011,january
1/20/2011 0:00,0.016,240,10.73333333,,so2,Rajawada chowk,2011,january
1/20/2011 0:00,0.019,240,12.74583333,,so2,Rajawada chowk,2011,january
1/20/2011 0:00,0.01,240,6.708333333,,so2,Rajawada chowk,2011,january
1/20/2011 0:00,0.017,228,12.00438596,,so2,Rajawada chowk,2011,january
1/20/2011 0:00,0.019,228,13.41666667,,so2,Rajawada chowk,2011,january
1/23/2011 0:00,0.015,228,10.59210526,12.12207602,so2,Rajawada chowk,2011,january
1/23/2011 0:00,0.011,228,7.76754386,,so2,Rajawada chowk,2011,january
1/23/2011 0:00,0.027,228,19.06578947,,so2,Rajawada chowk,2011,january
1/23/2011 0:00,0.016,228,11.29824561,,so2,Rajawada chowk,2011,january
1/23/2011 0:00,0.018,228,12.71052632,,so2,Rajawada chowk,2011,january
1/23/2011 0:00,0.016,228,11.29824561,,so2,Rajawada chowk,2011,january
1/27/2011 0:00,0.009,240,6.0375,12.05734649,so2,Rajawada chowk,2011,january
1/27/2011 0:00,0.022,240,14.75833333,,so2,Rajawada chowk,2011,january
1/27/2011 0:00,0.015,240,10.0625,,so2,Rajawada chowk,2011,january
1/27/2011 0:00,0.025,240,16.77083333,,so2,Rajawada chowk,2011,january
1/27/2011 0:00,0.016,228,11.29824561,,so2,Rajawada chowk,2011,january
